52035	5128568
52036	5021389
52037	4981362
52038	5026627
52040	5197629
AS22WG001	2691562
AS22WG002	2115915
AS22WG003	2115050
AS22WG004	5148633
AS22WG005	5066553
AS22WG006	5055638
AS22WG007	5146680
AS22WG009	2699664
AS22WG010	2116771
AS22WG011	2122814
AS22WG012	5177560
AS22WG013	5241806
AS22WG014	5249397
AS22WG015	5232530
AS22WG016	2728884
AS22WG017	2125210
AS22WG018	2129818
AS22WG019	4999692
AS22WG020	5039916
AS22WG021	5035638
AS22WG022	5124788
AS22WG023	2739889
AS22WG024	2676050
GeneSeq54	3872546
GenSeq_P10	3901403
GenSeq_P11	3814381
GenSeq_P12	3854864
GenSeq_P1	4012197
GenSeq_P14	4638158
GenSeq_P15	3173456
GenSeq_P16	3818804
GenSeq_P17	3893768
GenSeq_P18	3822622
GenSeq_P19	3837568
GenSeq_P20	3794851
GenSeq_P21	3769275
GenSeq_P22	3948781
GenSeq_P23	3771292
GenSeq_P24	3781854
GenSeq_P5	4021293
GenSeq_P6	3959361
GenSeq_P8	3899821
GenSeq_P9	3992688
PKGen160	3412698
PKGen161	3579519
PKGen162	3889963
PKGen163	3373766
PKGen164	3360587
PKGen165	3533267
PKGen166	4093081
PKGen169	4221862
PKGen171	4305278
PKGen172	4236067
PKGen176	4354096
PKGen177	4074940
PKGen182	4228710
PKGen185	4200460
PKGen186	4233615
PKGen187	4117496
PKGen_206	4238099
PKGen_207	4310484
PKGen_208	4309562
PKGen_209	4340370
PKGen_210	4306142
PKGen226	4120575
PKGen227	4217286
PKGen228	4074614
PKGen229	4196266
